id,colour_name,hex_code,group,,,,
LW,Light white,#FCFAF2,White,,,,
W,White,#FCFAF2,White,,,,
DW,Dark white,#FCFAF2,White,,,,
LBl,Light black,#0E0C0B,Black,,,,
Bl,Black,#0E0C0B,Black,,,,
DBl,Dark black,#0E0C0B,Black,,,,
LR,Light red,#EB603D,Red,,,,
R,Red,#D14624,Red,,,,
DR,Dark red,#A62D0F,Red,,,,
LY,Light yellow,#FAEFC5,Yellow,,,,
Y,Yellow,#EBD375,Yellow,,,,
DY,Dark yellow,#CFB23E,Yellow,,,,
LBr,Light brown,#C7A67D,Brown,,,,
Br,Brown,#966947,Brown,,,,
DBr,Dark brown,#633F23,Brown,,,,
LP,Light pink,#FAEEED,Pink,,,,
P,Pink,#F0D7D5,Pink,,,,
DP,Dark pink,#DEB3AF,Pink,,,,
LO,Light orange,#E38539,Orange,,,,
O,Orange,#CF671D,Orange,,,,
DO,Dark orange,#C24D04,Orange,,,,
LG,Light grey,#EDE7E6,Grey,,,,
G,Grey,#ADA5A3,Grey,,,,
DG,Dark grey,#665F5D,Grey,,,,